name,x_um,y_um,power_W
0,0.035,350.07,1.0545208
1,0.035,353.71,0.61582404
2,0.035,357.35,1.2603383
3,0.035,360.99,1.3599195
4,0.035,364.63,0.42775086
5,0.035,368.27,0.55450904
6,0.035,371.91,0.98249096
7,0.035,375.55,0.82259
8,0.035,379.33,0.92726046
9,0.035,382.97,0.66363835
10,0.035,386.61,1.3270506
11,0.035,390.25,1.2741973
12,0.035,393.89,0.95849776
13,0.035,397.53,1.465353
14,0.035,401.17,1.125473
15,0.035,404.81,0.66198176
16,0.035,408.59,1.0818797
17,0.035,412.23,0.6361293
18,0.035,415.87,1.3265476
19,0.035,419.51,0.9150554
20,0.035,423.15,0.8669749
21,0.035,426.79,0.71093655
22,0.035,430.43,1.5222907
23,0.035,434.07,0.8775581
24,0.035,437.85,0.7865245
25,0.035,441.49,0.810865
26,0.035,445.13,1.1550266
27,0.035,448.77,1.0804497
28,0.035,452.41,1.1010814
29,0.035,456.05,1.109077
30,0.035,459.69,2.1986835
31,0.035,463.47,0.79344875
32,0.035,467.11,0.7605622
33,0.035,470.75,0.67414546
34,0.035,474.39,1.1943372
35,0.035,478.03,1.466368
36,0.035,481.67,0.89191955
37,0.035,485.31,0.66706824
38,0.035,488.95,0.671264
39,0.035,492.73,1.2109883
40,0.035,496.37,1.2567152
41,0.035,500.01,1.160048
42,0.035,503.65,0.7153351
43,0.035,507.29,1.0243561
44,0.035,510.93,0.978117
45,0.035,514.57,1.0188506
46,0.035,518.21,1.3228271
47,0.035,521.99,1.0208523
48,0.035,525.63,1.2247847
49,0.035,529.27,0.9590916
50,0.035,532.91,1.0479621
51,0.035,536.55,1.2016733
52,0.035,540.19,0.52117854
53,0.035,543.83,0.82146263
54,0.035,547.61,0.77340734
55,0.035,551.25,0.7229961
56,0.035,554.89,0.8362253
57,0.035,558.53,1.6975332
58,0.035,562.17,0.66025263
59,0.035,565.81,1.3750788
60,0.035,569.45,0.4761853
61,0.035,573.09,0.8164788
62,0.035,576.87,0.99630773
63,0.035,580.51,1.1802056
64,0.035,584.15,1.2407181
65,0.035,587.79,1.2821503
66,0.035,591.43,0.81197125
67,0.035,595.07,0.7758927
68,0.035,598.71,1.3157278
69,0.035,602.35,0.86474377
70,0.035,606.13,0.5604166
71,0.035,609.77,0.59326434
72,0.035,613.41,0.646242
73,0.035,617.05,1.1389012
74,0.035,620.69,0.98823965
75,0.035,624.33,1.2304671
76,0.035,627.97,0.7868628
77,0.035,631.75,0.99463004
78,0.035,635.39,1.1989377
79,0.035,639.03,0.8248622
80,0.035,642.67,1.120651
81,0.035,646.31,0.7163612
82,0.035,649.95,0.8073307
83,0.035,653.59,0.80131954
84,0.035,657.23,0.57860446
85,0.035,661.01,1.1342694
86,0.035,664.65,0.77370757
87,0.035,668.29,0.9381901
88,0.035,671.93,1.1314481
89,0.035,675.57,1.1160684
90,0.035,679.21,1.2181748
91,0.035,682.85,0.897453
92,0.035,686.49,0.7881084
93,0.035,690.27,0.90421546
94,0.035,693.91,0.47533566
95,0.035,697.55,0.5232765
96,0.035,701.19,0.5499762
97,0.035,704.83,0.626442
98,0.035,708.47,1.0953888
99,0.035,712.11,0.64986414
100,0.035,715.89,0.80246633
101,0.035,719.53,1.5697101
102,0.035,723.17,0.8095264
103,0.035,726.81,1.2538338
104,0.035,730.45,0.64259064
105,0.035,734.09,0.8598689
106,0.035,737.73,0.6383879
107,0.035,741.37,0.8151252
108,0.035,745.15,1.3064623
109,0.035,748.79,0.4677934
110,0.035,752.43,1.1106763
111,0.035,756.07,1.0266427
112,0.035,759.71,0.73604774
113,0.035,763.35,0.5234973
114,0.035,766.99,0.9608389
115,0.035,770.63,0.75533235
116,0.035,774.41,1.0245671
117,0.035,778.05,0.9417085
118,0.035,781.69,1.7716498
119,0.035,785.33,0.8482816
120,0.035,788.97,0.6198986
121,0.035,792.61,1.0029142
122,0.035,796.25,1.0193838
123,0.035,799.89,1.6078128
124,0.035,803.67,1.3037493
125,0.035,807.31,1.0767509
126,0.035,810.95,1.6761857
127,0.035,814.59,0.5802446
128,0.035,818.23,0.72274345
129,0.035,821.87,0.64440316
130,0.035,825.51,0.79873645
131,0.035,829.29,0.538227
132,0.035,832.93,1.2035314
133,0.035,836.57,0.854115
134,0.035,840.21,0.5183405
135,0.035,843.85,0.6218652
136,0.035,847.49,1.0582379
137,0.035,851.13,1.3053228
138,0.035,854.77,2.0748565
139,0.035,858.55,2.9944024
140,0.035,862.19,1.1018201
141,0.035,865.83,0.6283766
142,0.035,869.47,0.39787441
143,0.035,873.11,1.0390265
144,0.035,876.75,0.67436975
145,0.035,880.39,0.79061574
146,0.035,884.03,0.73078275
